Subject,Grade,Strand,SubStrand,ItemType,ItemText
Environmental Activities,PP1,Health Practices,Care for the nose,LearningOutcome,appreciate the importance of cleaning the nose
Environmental Activities,PP1,Health Practices,Care for the nose,KeyInquiryQuestion,How do we care for our nose?
Environmental Activities,PP1,Natural Environment,Plants,LearningOutcome,identify different types of plants
Environmental Activities,PP1,Natural Environment,Plants,LearningOutcome,talk about different types of plants
Environmental Activities,PP1,Natural Environment,Plants,LearningOutcome,appreciate different types of plants
Environmental Activities,PP1,Natural Environment,Plants,KeyInquiryQuestion,What types of plants do we have?
Environmental Activities,PP1,Natural Environment,Animals,LearningOutcome,identify different types of animals
Environmental Activities,PP1,Natural Environment,Animals,LearningOutcome,talk about different types of animals
Environmental Activities,PP1,Natural Environment,Animals,LearningOutcome,appreciate different types of animals
Environmental Activities,PP1,Natural Environment,Animals,KeyInquiryQuestion,What types of animals do we have?
Environmental Activities,PP1,Environmental Care and Safety,Classroom cleaning,LearningOutcome,identify ways of cleaning the classroom
Environmental Activities,PP1,Environmental Care and Safety,Classroom cleaning,LearningOutcome,clean the classroom
Environmental Activities,PP1,Environmental Care and Safety,Classroom cleaning,LearningOutcome,appreciate a clean classroom
Environmental Activities,PP1,Environmental Care and Safety,Classroom cleaning,KeyInquiryQuestion,How can we keep our classroom clean?
Environmental Activities,PP1,Environmental Care and Safety,Safety in school,LearningOutcome,identify safe places to play in school
Environmental Activities,PP1,Environmental Care and Safety,Safety in school,LearningOutcome,play safely in school
Environmental Activities,PP1,Environmental Care and Safety,Safety in school,LearningOutcome,appreciate the importance of playing safely
Environmental Activities,PP1,Environmental Care and Safety,Safety in school,KeyInquiryQuestion,Where can we play safely in school?
Language Activities,PP1,Listening and Speaking,Attentive Listening,LearningOutcome,listen to sounds in the environment
Language Activities,PP1,Listening and Speaking,Attentive Listening,LearningOutcome,imitate sounds in the environment
Language Activities,PP1,Listening and Speaking,Attentive Listening,LearningOutcome,enjoy imitating sounds
Language Activities,PP1,Listening and Speaking,Attentive Listening,KeyInquiryQuestion,What sounds do we hear?
Language Activities,PP1,Listening and Speaking,Conversing,LearningOutcome,respond to simple greetings
Language Activities,PP1,Listening and Speaking,Conversing,LearningOutcome,use appropriate language for greetings
Language Activities,PP1,Listening and Speaking,Conversing,LearningOutcome,enjoy greeting others
Language Activities,PP1,Listening and Speaking,Conversing,KeyInquiryQuestion,How should one greet others?
Language Activities,PP1,Reading,Pre-reading,LearningOutcome,hold a book correctly
Language Activities,PP1,Reading,Pre-reading,LearningOutcome,turn pages of a book correctly
Language Activities,PP1,Reading,Pre-reading,LearningOutcome,enjoy handling books
Language Activities,PP1,Reading,Pre-reading,KeyInquiryQuestion,How should one handle a book?
Language Activities,PP1,Reading,Alphabet knowledge,LearningOutcome,recite the alphabet
Language Activities,PP1,Reading,Alphabet knowledge,LearningOutcome,identify the letters of the alphabet
Language Activities,PP1,Reading,Alphabet knowledge,LearningOutcome,match letters of the alphabet
Language Activities,PP1,Reading,Alphabet knowledge,LearningOutcome,enjoy playing with letters of the alphabet
Language Activities,PP1,Reading,Alphabet knowledge,KeyInquiryQuestion,What are the letters of the alphabet?
Language Activities,PP1,Writing,Pre-writing,LearningOutcome,develop hand-eye coordination through different activities
Language Activities,PP1,Writing,Pre-writing,LearningOutcome,develop fine motor skills through different activities
Language Activities,PP1,Writing,Pre-writing,LearningOutcome,enjoy pre-writing activities
Language Activities,PP1,Writing,Pre-writing,KeyInquiryQuestion,How can we prepare to write?
Language Activities,PP1,Writing,Handwriting,LearningOutcome,write letters of the alphabet
Language Activities,PP1,Writing,Handwriting,LearningOutcome,enjoy writing
Language Activities,PP1,Writing,Handwriting,KeyInquiryQuestion,How do we write letters of the alphabet?
Mathematics Activities,PP1,Number,Sorting and Grouping,LearningOutcome,sort objects according to one attribute
Mathematics Activities,PP1,Number,Sorting and Grouping,LearningOutcome,group objects according to one attribute
Mathematics Activities,PP1,Number,Sorting and Grouping,LearningOutcome,enjoy sorting and grouping objects
Mathematics Activities,PP1,Number,Sorting and Grouping,KeyInquiryQuestion,How can we sort and group objects?
Mathematics Activities,PP1,Number,Number recognition,LearningOutcome,recite number names in order up to 10
Mathematics Activities,PP1,Number,Number recognition,LearningOutcome,identify numbers 1 to 5
Mathematics Activities,PP1,Number,Number recognition,LearningOutcome,write numbers 1 to 5
Mathematics Activities,PP1,Number,Number recognition,LearningOutcome,enjoy working with numbers
Mathematics Activities,PP1,Number,Number recognition,KeyInquiryQuestion,How can we use numbers?
Mathematics Activities,PP1,Measurement,Length,LearningOutcome,compare objects based on length
Mathematics Activities,PP1,Measurement,Length,LearningOutcome,order objects based on length
Mathematics Activities,PP1,Measurement,Length,LearningOutcome,enjoy comparing and ordering objects
Mathematics Activities,PP1,Measurement,Length,KeyInquiryQuestion,How can we find out which object is longer or shorter?
Mathematics Activities,PP1,Measurement,Mass,LearningOutcome,compare objects based on mass
Mathematics Activities,PP1,Measurement,Mass,LearningOutcome,order objects based on mass
Mathematics Activities,PP1,Measurement,Mass,LearningOutcome,enjoy comparing and ordering objects
Mathematics Activities,PP1,Measurement,Mass,KeyInquiryQuestion,How can we find out which object is heavier or lighter?
Mathematics Activities,PP1,Measurement,Capacity,LearningOutcome,compare containers based on capacity
Mathematics Activities,PP1,Measurement,Capacity,LearningOutcome,order containers based on capacity
Mathematics Activities,PP1,Measurement,Capacity,LearningOutcome,enjoy comparing and ordering containers
Mathematics Activities,PP1,Measurement,Capacity,KeyInquiryQuestion,How can we find out which container holds more or less?
Mathematics Activities,PP1,Geometry,Shapes,LearningOutcome,identify basic shapes in the environment
Mathematics Activities,PP1,Geometry,Shapes,LearningOutcome,sort and group shapes
Mathematics Activities,PP1,Geometry,Shapes,LearningOutcome,make patterns with shapes
Mathematics Activities,PP1,Geometry,Shapes,LearningOutcome,enjoy working with shapes
Mathematics Activities,PP1,Geometry,Shapes,KeyInquiryQuestion,Where can we find shapes?
Christian Religious Education,PP2,The Bible,God's Book,LearningOutcome,identify the Bible as God's book
Christian Religious Education,PP2,The Bible,God's Book,LearningOutcome,identify the two main parts of the Bible
Christian Religious Education,PP2,The Bible,God's Book,LearningOutcome,show interest in the stories from the Bible
Christian Religious Education,PP2,The Bible,God's Book,KeyInquiryQuestion,Why is the Bible a special book?
Christian Religious Education,PP2,Creation,My beautiful world,LearningOutcome,identify things created by God
Christian Religious Education,PP2,Creation,My beautiful world,LearningOutcome,sing songs of praise to God
Christian Religious Education,PP2,Creation,My beautiful world,LearningOutcome,show appreciation to God for His creation
Christian Religious Education,PP2,Creation,My beautiful world,KeyInquiryQuestion,How do we praise God for His creation?
Christian Religious Education,PP2,Creation,Caring for animals,LearningOutcome,identify ways of caring for animals
Christian Religious Education,PP2,Creation,Caring for animals,LearningOutcome,participate in caring for animals
Christian Religious Education,PP2,Creation,Caring for animals,LearningOutcome,show willingness to care for animals
Christian Religious Education,PP2,Creation,Caring for animals,KeyInquiryQuestion,How can we care for animals?
Christian Religious Education,PP2,The life of Jesus Christ,The birth of Jesus,LearningOutcome,narrate the story of the birth of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,The birth of Jesus,LearningOutcome,identify lessons learnt from the birth of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,The birth of Jesus,LearningOutcome,show willingness to be humble like Mary
Christian Religious Education,PP2,The life of Jesus Christ,The birth of Jesus,KeyInquiryQuestion,What do we learn from the birth of Jesus?
Christian Religious Education,PP2,The life of Jesus Christ,Jesus is our friend,LearningOutcome,identify ways in which Jesus is our friend
Christian Religious Education,PP2,The life of Jesus Christ,Jesus is our friend,LearningOutcome,sing songs about Jesus our friend
Christian Religious Education,PP2,The life of Jesus Christ,Jesus is our friend,LearningOutcome,show desire to be a friend of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,Jesus is our friend,KeyInquiryQuestion,How can we be friends of Jesus?
Christian Religious Education,PP2,The life of Jesus Christ,Jesus heals the sick,LearningOutcome,narrate the story of the healing of the paralysed man
Christian Religious Education,PP2,The life of Jesus Christ,Jesus heals the sick,LearningOutcome,identify lessons learnt from the story of the healing of the paralysed man
Christian Religious Education,PP2,The life of Jesus Christ,Jesus heals the sick,LearningOutcome,show care for the sick
Christian Religious Education,PP2,The life of Jesus Christ,Jesus heals the sick,KeyInquiryQuestion,What do we learn from the healing of the paralysed man?
Christian Religious Education,PP2,The life of Jesus Christ,The death and resurrection of Jesus,LearningOutcome,narrate the story of the death and resurrection of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,The death and resurrection of Jesus,LearningOutcome,identify lessons learnt from the death and resurrection of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,The death and resurrection of Jesus,LearningOutcome,show willingness to share the good news of the resurrection of Jesus
Christian Religious Education,PP2,The life of Jesus Christ,The death and resurrection of Jesus,KeyInquiryQuestion,Why should we share the good news of the resurrection of Jesus?
Christian Religious Education,PP2,The Church,The Church as a house of prayer,LearningOutcome,identify the church as a house of prayer
Christian Religious Education,PP2,The Church,The Church as a house of prayer,LearningOutcome,identify things done in the church
Christian Religious Education,PP2,The Church,The Church as a house of prayer,LearningOutcome,show desire to go to church
Christian Religious Education,PP2,The Church,The Church as a house of prayer,KeyInquiryQuestion,What do we do in church?
Christian Religious Education,PP2,Christian Living,Our family and school,LearningOutcome,identify members of the family and school
Christian Religious Education,PP2,Christian Living,Our family and school,LearningOutcome,talk about their family and school
Christian Religious Education,PP2,Christian Living,Our family and school,LearningOutcome,show love for their family and school members
Christian Religious Education,PP2,Christian Living,Our family and school,KeyInquiryQuestion,How do we show love to our family and school members?
Christian Religious Education,PP2,Christian Living,Responsibility,LearningOutcome,identify their responsibilities at home and school
Christian Religious Education,PP2,Christian Living,Responsibility,LearningOutcome,carry out their responsibilities
Christian Religious Education,PP2,Christian Living,Responsibility,LearningOutcome,show willingness to be responsible
Christian Religious Education,PP2,Christian Living,Responsibility,KeyInquiryQuestion,Why should we be responsible?
Creative Arts,PP2,Music,Performing,LearningOutcome,sing familiar songs
Creative Arts,PP2,Music,Performing,LearningOutcome,recite familiar rhymes and singing games
Creative Arts,PP2,Music,Performing,LearningOutcome,play musical instruments
Creative Arts,PP2,Music,Performing,LearningOutcome,enjoy performing music
Creative Arts,PP2,Music,Performing,KeyInquiryQuestion,How do we perform music?
Creative Arts,PP2,Music,Creating,LearningOutcome,improvise simple rhythms
Creative Arts,PP2,Music,Creating,LearningOutcome,improvise melodies
Creative Arts,PP2,Music,Creating,LearningOutcome,improvise musical instruments
Creative Arts,PP2,Music,Creating,LearningOutcome,enjoy creating music
Creative Arts,PP2,Music,Creating,KeyInquiryQuestion,How can we create music?
Creative Arts,PP2,Art,Drawing,LearningOutcome,scribble and draw
Creative Arts,PP2,Art,Drawing,LearningOutcome,draw from observation
Creative Arts,PP2,Art,Drawing,LearningOutcome,draw from imagination
Creative Arts,PP2,Art,Drawing,LearningOutcome,enjoy drawing
Creative Arts,PP2,Art,Drawing,KeyInquiryQuestion,What can we draw?
Creative Arts,PP2,Art,Colouring,LearningOutcome,colour pictures
Creative Arts,PP2,Art,Colouring,LearningOutcome,enjoy colouring
Creative Arts,PP2,Art,Colouring,KeyInquiryQuestion,How do we colour?
Creative Arts,PP2,Craft,Tearing,LearningOutcome,tear paper into pieces
Creative Arts,PP2,Craft,Tearing,LearningOutcome,paste torn paper to create a picture
Creative Arts,PP2,Craft,Tearing,LearningOutcome,enjoy tearing and pasting
Creative Arts,PP2,Craft,Tearing,KeyInquiryQuestion,What can we make by tearing and pasting?
Creative Arts,PP2,Craft,Modelling,LearningOutcome,model items from dough/clay
Creative Arts,PP2,Craft,Modelling,LearningOutcome,enjoy modelling
Creative Arts,PP2,Craft,Modelling,KeyInquiryQuestion,What can we make by modelling?
Environmental Activities,PP2,Social Environment,Myself,LearningOutcome,identify themselves by name and sex
Environmental Activities,PP2,Social Environment,Myself,LearningOutcome,talk about themselves
Environmental Activities,PP2,Social Environment,Myself,LearningOutcome,appreciate themselves
Environmental Activities,PP2,Social Environment,Myself,KeyInquiryQuestion,Who am I?
Environmental Activities,PP2,Social Environment,My family,LearningOutcome,identify members of their family
Environmental Activities,PP2,Social Environment,My family,LearningOutcome,talk about members of their family
Environmental Activities,PP2,Social Environment,My family,LearningOutcome,appreciate their family members
Environmental Activities,PP2,Social Environment,My family,KeyInquiryQuestion,Who are the members of our family?
Environmental Activities,PP2,Social Environment,Our School,LearningOutcome,identify the name of their school
Environmental Activities,PP2,Social Environment,Our School,LearningOutcome,talk about their school
Environmental Activities,PP2,Social Environment,Our School,LearningOutcome,appreciate their school
Environmental Activities,PP2,Social Environment,Our School,KeyInquiryQuestion,What is the name of our school?
Environmental Activities,PP2,Health Practices,Hand washing,LearningOutcome,identify when to wash hands
Environmental Activities,PP2,Health Practices,Hand washing,LearningOutcome,wash their hands properly
Environmental Activities,PP2,Health Practices,Hand washing,LearningOutcome,appreciate the importance of washing hands
Environmental Activities,PP2,Health Practices,Hand washing,KeyInquiryQuestion,Why do we wash our hands?
Environmental Activities,PP2,Health Practices,Care for the mouth,LearningOutcome,identify materials used for cleaning the mouth
Environmental Activities,PP2,Health Practices,Care for the mouth,LearningOutcome,brush their teeth properly
Environmental Activities,PP2,Health Practices,Care for the mouth,LearningOutcome,appreciate the importance of brushing teeth
Environmental Activities,PP2,Health Practices,Care for the mouth,KeyInquiryQuestion,How do we care for our mouth?
Environmental Activities,PP2,Health Practices,Care for the nose,LearningOutcome,identify materials used for cleaning the nose
Environmental Activities,PP2,Health Practices,Care for the nose,LearningOutcome,clean their nose properly
Environmental Activities,PP2,Health Practices,Care for the nose,LearningOutcome,appreciate the importance of cleaning the nose
Environmental Activities,PP2,Health Practices,Care for the nose,KeyInquiryQuestion,How do we care for our nose?
Environmental Activities,PP2,Natural Environment,Plants,LearningOutcome,identify different types of plants
Environmental Activities,PP2,Natural Environment,Plants,LearningOutcome,talk about different types of plants
Environmental Activities,PP2,Natural Environment,Plants,LearningOutcome,appreciate different types of plants
Environmental Activities,PP2,Natural Environment,Plants,KeyInquiryQuestion,What types of plants do we have?
Environmental Activities,PP2,Natural Environment,Animals,LearningOutcome,identify different types of animals
Environmental Activities,PP2,Natural Environment,Animals,LearningOutcome,talk about different types of animals
Environmental Activities,PP2,Natural Environment,Animals,LearningOutcome,appreciate different types of animals
Environmental Activities,PP2,Natural Environment,Animals,KeyInquiryQuestion,What types of animals do we have?
Environmental Activities,PP2,Environmental Care and Safety,Classroom cleaning,LearningOutcome,identify ways of cleaning the classroom
Environmental Activities,PP2,Environmental Care and Safety,Classroom cleaning,LearningOutcome,clean the classroom
Environmental Activities,PP2,Environmental Care and Safety,Classroom cleaning,LearningOutcome,appreciate a clean classroom
Environmental Activities,PP2,Environmental Care and Safety,Classroom cleaning,KeyInquiryQuestion,How can we keep our classroom clean?
Environmental Activities,PP2,Environmental Care and Safety,Safety in school,LearningOutcome,identify safe places to play in school
Environmental Activities,PP2,Environmental Care and Safety,Safety in school,LearningOutcome,play safely in school
Environmental Activities,PP2,Environmental Care and Safety,Safety in school,LearningOutcome,appreciate the importance of playing safely
Environmental Activities,PP2,Environmental Care and Safety,Safety in school,KeyInquiryQuestion,Where can we play safely in school?
Language Activities,PP2,Listening and Speaking,Attentive Listening,LearningOutcome,listen to sounds in the environment
Language Activities,PP2,Listening and Speaking,Attentive Listening,LearningOutcome,imitate sounds in the environment
Language Activities,PP2,Listening and Speaking,Attentive Listening,LearningOutcome,enjoy imitating sounds
Language Activities,PP2,Listening and Speaking,Attentive Listening,KeyInquiryQuestion,What sounds do we hear?
Language Activities,PP2,Listening and Speaking,Conversing,LearningOutcome,respond to simple greetings
Language Activities,PP2,Listening and Speaking,Conversing,LearningOutcome,use appropriate language for greetings
Language Activities,PP2,Listening and Speaking,Conversing,LearningOutcome,enjoy greeting others
Language Activities,PP2,Listening and Speaking,Conversing,KeyInquiryQuestion,How should one greet others?
Language Activities,PP2,Reading,Pre-reading,LearningOutcome,hold a book correctly
Language Activities,PP2,Reading,Pre-reading,LearningOutcome,turn pages of a book correctly
Language Activities,PP2,Reading,Pre-reading,LearningOutcome,enjoy handling books
Language Activities,PP2,Reading,Pre-reading,KeyInquiryQuestion,How should one handle a book?
Language Activities,PP2,Reading,Alphabet knowledge,LearningOutcome,recite the alphabet
Language Activities,PP2,Reading,Alphabet knowledge,LearningOutcome,identify the letters of the alphabet
Language Activities,PP2,Reading,Alphabet knowledge,LearningOutcome,match letters of the alphabet
Language Activities,PP2,Reading,Alphabet knowledge,LearningOutcome,enjoy playing with letters of the alphabet
Language Activities,PP2,Reading,Alphabet knowledge,KeyInquiryQuestion,What are the letters of the alphabet?
Language Activities,PP2,Writing,Pre-writing,LearningOutcome,develop hand-eye coordination through different activities
Language Activities,PP2,Writing,Pre-writing,LearningOutcome,develop fine motor skills through different activities
Language Activities,PP2,Writing,Pre-writing,LearningOutcome,enjoy pre-writing activities
Language Activities,PP2,Writing,Pre-writing,KeyInquiryQuestion,How can we prepare to write?
Language Activities,PP2,Writing,Handwriting,LearningOutcome,write letters of the alphabet
Language Activities,PP2,Writing,Handwriting,LearningOutcome,enjoy writing
Language Activities,PP2,Writing,Handwriting,KeyInquiryQuestion,How do we write letters of the alphabet?
Mathematics Activities,PP2,Number,Sorting and Grouping,LearningOutcome,sort objects according to one attribute
Mathematics Activities,PP2,Number,Sorting and Grouping,LearningOutcome,group objects according to one attribute
Mathematics Activities,PP2,Number,Sorting and Grouping,LearningOutcome,enjoy sorting and grouping objects
Mathematics Activities,PP2,Number,Sorting and Grouping,KeyInquiryQuestion,How can we sort and group objects?
Mathematics Activities,PP2,Number,Number recognition,LearningOutcome,recite number names in order up to 20
Mathematics Activities,PP2,Number,Number recognition,LearningOutcome,identify numbers 1 to 10
Mathematics Activities,PP2,Number,Number recognition,LearningOutcome,write numbers 1 to 10
Mathematics Activities,PP2,Number,Number recognition,LearningOutcome,enjoy working with numbers
Mathematics Activities,PP2,Number,Number recognition,KeyInquiryQuestion,How can we use numbers?
Mathematics Activities,PP2,Number,Addition,LearningOutcome,add two single digit numbers up to a sum of 10
Mathematics Activities,PP2,Number,Addition,LearningOutcome,enjoy adding numbers
Mathematics Activities,PP2,Number,Addition,KeyInquiryQuestion,How do we add numbers?
Mathematics Activities,PP2,Number,Subtraction,LearningOutcome,subtract a single digit number from a single digit number
Mathematics Activities,PP2,Number,Subtraction,LearningOutcome,enjoy subtracting numbers
Mathematics Activities,PP2,Number,Subtraction,KeyInquiryQuestion,How do we subtract numbers?
Mathematics Activities,PP2,Measurement,Length,LearningOutcome,compare objects based on length
Mathematics Activities,PP2,Measurement,Length,LearningOutcome,order objects based on length
Mathematics Activities,PP2,Measurement,Length,LearningOutcome,enjoy comparing and ordering objects
Mathematics Activities,PP2,Measurement,Length,KeyInquiryQuestion,How can we find out which object is longer or shorter?
Mathematics Activities,PP2,Measurement,Mass,LearningOutcome,compare objects based on mass
Mathematics Activities,PP2,Measurement,Mass,LearningOutcome,order objects based on mass
Mathematics Activities,PP2,Measurement,Mass,LearningOutcome,enjoy comparing and ordering objects
Mathematics Activities,PP2,Measurement,Mass,KeyInquiryQuestion,How can we find out which object is heavier or lighter?
Mathematics Activities,PP2,Measurement,Capacity,LearningOutcome,compare containers based on capacity
Mathematics Activities,PP2,Measurement,Capacity,LearningOutcome,order containers based on capacity
Mathematics Activities,PP2,Measurement,Capacity,LearningOutcome,enjoy comparing and ordering containers
Mathematics Activities,PP2,Measurement,Capacity,KeyInquiryQuestion,How can we find out which container holds more or less?
Mathematics Activities,PP2,Geometry,Shapes,LearningOutcome,identify basic shapes in the environment
Mathematics Activities,PP2,Geometry,Shapes,LearningOutcome,sort and group shapes
Mathematics Activities,PP2,Geometry,Shapes,LearningOutcome,make patterns with shapes
Mathematics Activities,PP2,Geometry,Shapes,LearningOutcome,enjoy working with shapes
Mathematics Activities,PP2,Geometry,Shapes,KeyInquiryQuestion,Where can we find shapes?
Environmental Activities,Grade 1,Our School,Our School,LearningOutcome,identify the name of their school
Environmental Activities,Grade 1,Our School,Our School,LearningOutcome,talk about their school
Environmental Activities,Grade 1,Our School,Our School,LearningOutcome,appreciate their school
Environmental Activities,Grade 1,Our School,Our School,KeyInquiryQuestion,What is the name of your school?
Environmental Activities,Grade 1,Our School,Things in the school,LearningOutcome,identify things in the school
Environmental Activities,Grade 1,Our School,Things in the school,LearningOutcome,talk about things in the school
Environmental Activities,Grade 1,Our School,Things in the school,LearningOutcome,appreciate the things in their school
Environmental Activities,Grade 1,Our School,Things in the school,KeyInquiryQuestion,What are the things in our school?
Environmental Activities,Grade 1,Our Environment,Weather,LearningOutcome,identify different weather conditions
Environmental Activities,Grade 1,Our Environment,Weather,LearningOutcome,talk about different weather conditions
Environmental Activities,Grade 1,Our Environment,Weather,LearningOutcome,appreciate different weather conditions
Environmental Activities,Grade 1,Our Environment,Weather,KeyInquiryQuestion,How is the weather today?
Environmental Activities,Grade 1,Our Environment,Plants,LearningOutcome,identify different types of plants
Environmental Activities,Grade 1,Our Environment,Plants,LearningOutcome,talk about different types of plants
Environmental Activities,Grade 1,Our Environment,Plants,LearningOutcome,appreciate different types of plants
Environmental Activities,Grade 1,Our Environment,Plants,KeyInquiryQuestion,What types of plants do we have?
Environmental Activities,Grade 1,Our Environment,Animals,LearningOutcome,identify different types of animals
Environmental Activities,Grade 1,Our Environment,Animals,LearningOutcome,talk about different types of animals
Environmental Activities,Grade 1,Our Environment,Animals,LearningOutcome,appreciate different types of animals
Environmental Activities,Grade 1,Our Environment,Animals,KeyInquiryQuestion,What types of animals do we have?
Environmental Activities,Grade 1,Our Environment,Water,LearningOutcome,identify sources of water
Environmental Activities,Grade 1,Our Environment,Water,LearningOutcome,talk about the uses of water
Environmental Activities,Grade 1,Our Environment,Water,LearningOutcome,appreciate the importance of water
Environmental Activities,Grade 1,Our Environment,Water,KeyInquiryQuestion,Why is water important?
Environmental Activities,Grade 1,Caring for the environment,Keeping clean,LearningOutcome,identify ways of keeping the environment clean
Environmental Activities,Grade 1,Caring for the environment,Keeping clean,LearningOutcome,practise keeping the environment clean
Environmental Activities,Grade 1,Caring for the environment,Keeping clean,LearningOutcome,appreciate a clean environment
